player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
Jeremy Evans,2011,SF,23,18.8,0.678,0.009,0.322,9.3,16.1,8.5,1.9,3,12.6,14.9,1.2,0.4,0.167,1.5,0.6,2.1,0.5,463,55
Jeremy Lin,2011,PG,22,14.8,0.458,0.069,0.347,4.7,8.9,20.4,5.9,2.4,17.8,15.6,0,0.4,0.078,-2.1,4.4,2.2,0.3,285,61
Jermaine O'Neal,2011,C,32,9.2,0.504,0.009,0.394,7.6,17,4.3,0.2,5.4,17.4,17.2,-0.2,0.8,0.065,-5.4,1.3,-4.2,-0.2,628,17
Jermaine Taylor,2011,SG,24,12.20362319,0.5351304348,0.2299855072,0.1428043478,5.977536232,8.694927536,11.11231884,1.484057971,0.7036231884,18.08913043,22.88985507,-0.09202898551,0.2420289855,0.01377536232,-1.386231884,-2.188405797,-3.582608696,-0.184057971,483,32
Jerry Stackhouse,2011,SG,36,6,0.398,0.333,0.583,2.5,13.4,8.5,0,3.1,11.7,16,-0.1,0.1,0.005,-4.5,-1.7,-6.2,-0.1,50,3
Jerryd Bayless,2011,PG,22,14.11654412,0.5354204545,0.2821991979,0.3981614305,2.025100267,11.31514037,27.62449866,1.315140374,0.2699197861,17.27369652,22.1246992,1.45040107,0.2,0.05282286096,0.0810828877,-1.884859626,-1.803776738,0.1751002674,1496,11
JJ Hickson,2011,C,22,15.6,0.503,0.005,0.392,10.8,25,7.5,1.1,1.8,13.6,25.5,-0.2,1.7,0.032,-1.8,-2.1,-3.8,-1.1,2256,61
JJ Redick,2011,SG,26,12.8,0.589,0.49,0.286,0.5,8.1,11,1,0.2,9.5,17,2.7,1.8,0.142,0.4,0.7,1.1,1.2,1633,61
Joakim Noah,2011,C,25,18.8,0.579,0.002,0.468,13.9,22.8,10.7,1.6,3.5,15.7,16.8,3.1,3.6,0.205,0.8,2.1,2.9,1.9,2105,9
Jodie Meeks,2011,SG,23,12.6,0.6,0.611,0.298,1.2,8.4,5.7,1.6,0.1,8.5,15.7,3.2,1.9,0.12,0.1,0.1,0.2,1.1,2187,41
Joe Johnson,2011,SG,29,16.4,0.517,0.258,0.209,2.8,10.9,24,1,0.2,10.3,26.3,2.5,1.8,0.08,1.2,-1.5,-0.3,1.1,3051,10
Joe Smith,2011,PF,35,-0.08695652174,0.2380797101,0,0.1157463768,5.073188406,28.92898551,7.984057971,0,4.4,23.50869565,14.52173913,-0.231884058,0.08188405797,-0.09902898551,-10.08333333,0.8297101449,-9.203623188,-0.1,80,1
Joel Anthony,2011,C,28,7.3,0.583,0,0.737,9,12.4,2.2,0.4,5,21.5,5.3,1.2,2.1,0.107,-3.2,1.6,-1.6,0.2,2038,61
Joel Przybilla,2011,C,31,6.208092486,0.5808901734,0,0.6253236994,8.413294798,26.40741811,3.600578035,0.5072254335,2.393063584,34.03516378,7.656454721,-0.02138728324,0.5643545279,0.04601926782,-5.377842004,0.593256262,-4.827456647,-0.3,519,9
Joey Dorsey,2011,C,27,14.2,0.529,0,0.657,17.5,25.8,7.4,2.4,2.5,23.4,14.3,0.2,0.5,0.072,-1.6,0.1,-1.6,0.1,522,33
Joey Graham,2011,SF,28,7.7,0.518,0.168,0.201,1.5,15.3,5.2,0.5,0.9,12.6,17.2,-0.2,0.1,-0.004,-4.5,-1.3,-5.8,-0.6,586,16
Johan Petro,2011,C,25,9.9,0.452,0.014,0.097,8,20.4,8.4,2,2.9,13.2,18.1,-0.7,1.1,0.024,-5.5,0.9,-4.7,-0.6,893,25
